file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/quarkusio__quarkus/extensions/hibernate-validator/runtime/src/main/java/io/quarkus/hibernate/validator/ValidatorFactoryCustomizer.java,io.quarkus.hibernate.validator.ValidatorFactoryCustomizer,interface,1,7,6,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/quarkusio__quarkus/integration-tests/main/src/main/java/io/quarkus/it/corestuff/serialization/SerializationConfig.java,io.quarkus.it.corestuff.serialization.SerializationConfig,class,1,1,0,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/quarkusio__quarkus/extensions/vertx-http/deployment/src/test/java/io/quarkus/vertx/http/ssl/SslServerWithJksWithAliasTest.java,io.quarkus.vertx.http.ssl.SslServerWithJksWithAliasTest,class,9,9,0,9,1,1,0,11,0,0.5,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,1,0,0,0,2,1,0,0,18,0,0,0,0,0,20,1,1,0,3,0,0,1,1,29,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/quarkusio__quarkus/independent-projects/qute/debug/src/main/java/io/quarkus/qute/debug/agent/variables/VariableContext.java,io.quarkus.qute.debug.agent.variables.VariableContext,class,6,8,2,6,15,1,0,9,15,0.7,0.0,0.0,10,0,9,1,0,0,9,0,0,0,5,0,0,5,0,0,5,0,1,68,9,0,0,1,0,0,0,12,0,11,1,0,0,0,81,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/quarkusio__quarkus/independent-projects/resteasy-reactive/server/vertx/src/test/java/org/jboss/resteasy/reactive/server/vertx/test/resource/basic/MediaTypeNegotiationServerQualityTest.java,org.jboss.resteasy.reactive.server.vertx.test.resource.basic.MediaTypeNegotiationServerQualityTest$NotFoundExceptionMapper,innerclass,5,5,0,5,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,8,9,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/quarkusio__quarkus/integration-tests/maven/src/test/resources-filtered/projects/reactive-routes/src/test/java/org/acme/reactive/routes/RouteTest.java,org.acme.reactive.routes.RouteTest,class,2,3,1,2,1,1,1,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,14,4,0,0,0,0,0,0,0,9,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/quarkusio__quarkus/independent-projects/resteasy-reactive/server/vertx/src/main/java/org/jboss/resteasy/reactive/server/vertx/VertxInputStream.java,org.jboss.resteasy.reactive.server.vertx.VertxInputStream$VertxBlockingInput$Anonymous3,anonymous,1,1,0,1,5,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,0,1,3,0,0,0,0,4,0,1,3,0,0,0,15,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/quarkusio__quarkus/independent-projects/resteasy-reactive/server/vertx/src/main/java/org/jboss/resteasy/reactive/server/vertx/VertxInputStream.java,org.jboss.resteasy.reactive.server.vertx.VertxInputStream$VertxBlockingInput$Anonymous2,anonymous,0,0,0,0,2,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,2,0,0,0,7,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/quarkusio__quarkus/extensions/redis-client/runtime/src/main/java/io/quarkus/redis/datasource/search/SpellCheckResponse.java,io.quarkus.redis.datasource.search.SpellCheckResponse,class,2,6,4,2,4,1,0,4,0,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,1,29,3,0,0,0,0,1,0,1,0,1,0,0,1,0,10,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/quarkusio__quarkus/extensions/micrometer/deployment/src/test/java/io/quarkus/micrometer/deployment/binder/StorkMetricsServiceDiscoveryFailTest.java,io.quarkus.micrometer.deployment.binder.StorkMetricsServiceDiscoveryFailTest,class,20,21,1,20,5,1,0,42,2,0.6666667,0.0,0.0,5,3,1,2,0,2,3,0,0,0,3,2,0,0,0,3,2,0,3,51,0,0,0,0,0,32,7,8,1,10,0,0,0,1,47,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/quarkusio__quarkus/extensions/resteasy-reactive/rest-client/deployment/src/test/java/io/quarkus/rest/client/reactive/TestRestClientListener.java,io.quarkus.rest.client.reactive.TestRestClientListener$TestRestClientFilter,innerclass,2,2,0,2,2,1,0,2,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,11,8,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/quarkusio__quarkus/extensions/vertx-http/deployment/src/test/java/io/quarkus/vertx/http/security/FluentApiAuthenticationMechanismSelectionTest.java,io.quarkus.vertx.http.security.FluentApiAuthenticationMechanismSelectionTest,class,23,24,1,23,10,2,0,39,36,0.9166666,0.0,0.0,9,3,5,2,0,2,7,0,0,0,4,1,0,0,0,4,0,0,5,98,0,0,0,1,0,105,23,4,0,7,1,0,4,1,71,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/quarkusio__quarkus/extensions/reactive-mysql-client/deployment/src/test/java/io/quarkus/reactive/mysql/client/ConfigUrlMissingDefaultDatasourceDynamicInjectionTest.java,io.quarkus.reactive.mysql.client.ConfigUrlMissingDefaultDatasourceDynamicInjectionTest,class,12,13,1,12,5,1,0,15,8,0.8,0.0,0.0,5,0,4,1,0,0,4,0,0,0,5,1,0,0,0,5,1,0,0,24,0,0,0,0,0,6,0,2,0,10,0,0,0,5,45,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/quarkusio__quarkus/extensions/quartz/deployment/src/test/java/io/quarkus/quartz/test/SimpleDelayedTest.java,io.quarkus.quartz.test.SimpleDelayedTest,class,5,5,0,5,1,1,0,5,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,12,0,0,0,0,0,2,1,1,0,2,0,0,1,1,14,1,0
