file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/reactor__reactor-core/reactor-core/src/test/java/reactor/core/publisher/SinksTest.java,reactor.core.publisher.SinksTest$OptimisticEmitFailureHandlerTest,shouldFailRetryOptimistically/0,false,162,3,1,0,1,1,5,19,0,1,0,5,0,0,0,0,0,0,1,1,1,0,1,1,0,1,22,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/reactor__reactor-core/reactor-core/src/test/java/reactor/core/publisher/SinksTest.java,reactor.core.publisher.SinksTest$OptimisticEmitFailureHandlerTest,shouldRetryOptimistically/0,false,131,3,1,0,1,1,8,21,0,3,0,8,0,0,0,0,0,0,1,3,3,0,0,1,0,1,26,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/reactor__reactor-core/reactor-core/src/main/java/reactor/core/publisher/FluxMaterialize.java,reactor.core.publisher.FluxMaterialize,FluxMaterialize/1[reactor.core.publisher.Flux<T>],true,34,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/reactor__reactor-core/reactor-core/src/main/java/reactor/core/publisher/FluxMaterialize.java,reactor.core.publisher.FluxMaterialize,scanUnsafe/1[reactor.core.publisher.Attr],false,44,2,0,0,0,2,1,4,2,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/reactor__reactor-core/reactor-core/src/main/java/reactor/core/publisher/FluxMaterialize.java,reactor.core.publisher.FluxMaterialize,subscribeOrReturn/1[reactor.core.CoreSubscriber<? super reactor.core.publisher.Signal<T>>],false,39,3,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/reactor__reactor-core/reactor-core/src/main/java/reactor/core/publisher/FluxRange.java,reactor.core.publisher.FluxRange,scanUnsafe/1[reactor.core.publisher.Attr],false,73,2,0,0,0,2,1,4,2,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/reactor__reactor-core/reactor-core/src/main/java/reactor/core/publisher/FluxRange.java,reactor.core.publisher.FluxRange,subscribe/1[reactor.core.CoreSubscriber<? super java.lang.Integer>],false,53,4,3,0,3,4,3,17,3,2,1,3,0,0,0,2,0,0,1,1,2,1,1,0,0,0,11,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/reactor__reactor-core/reactor-core/src/main/java/reactor/core/publisher/FluxRange.java,reactor.core.publisher.FluxRange,"FluxRange/2[int,int]",true,38,0,0,0,0,3,0,11,0,1,2,0,0,0,0,0,0,0,2,2,3,3,1,0,0,0,16,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/reactor__reactor-core/reactor-core/src/main/java/reactor/core/publisher/MonoCacheInvalidateIf.java,reactor.core.publisher.MonoCacheInvalidateIf$ValueState,clear/0,false,72,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/reactor__reactor-core/reactor-core/src/main/java/reactor/core/publisher/MonoCacheInvalidateIf.java,reactor.core.publisher.MonoCacheInvalidateIf$ValueState,get/0,false,67,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/reactor__reactor-core/reactor-core/src/main/java/reactor/core/publisher/MonoCacheInvalidateIf.java,reactor.core.publisher.MonoCacheInvalidateIf$ValueState,ValueState/1[T],true,62,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/reactor__reactor-core/reactor-core/src/test/java/reactor/core/publisher/FluxCreateTest.java,reactor.core.publisher.FluxCreateTest,fluxPushOnRequest/0,false,1005,3,1,0,1,2,16,18,0,6,0,16,0,0,1,0,0,0,0,13,4,0,3,0,0,2,14,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/reactor__reactor-core/reactor-core/src/test/java/reactor/core/publisher/FluxCreateTest.java,reactor.core.publisher.FluxCreateTest,fluxCreateSerialized2/0,false,430,2,1,0,1,1,8,9,0,1,0,8,0,0,0,0,0,0,6,0,0,0,1,0,0,1,4,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/reactor__reactor-core/reactor-core/src/test/java/reactor/core/publisher/FluxCreateTest.java,reactor.core.publisher.FluxCreateTest,fluxCreateErrorEmpty/0,false,838,3,1,0,1,1,3,4,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/reactor__reactor-core/reactor-core/src/test/java/reactor/core/publisher/FluxCreateTest.java,reactor.core.publisher.FluxCreateTest,fluxCreateErrorError2/0,false,828,4,1,0,1,1,4,7,0,2,0,4,0,0,0,0,0,0,2,0,1,0,1,0,0,1,7,0,1,false
