file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/robolectric__robolectric/shadows/framework/src/main/java/org/robolectric/shadows/ShadowArscAssetManager.java,org.robolectric.shadows.ShadowArscAssetManager,"loadResourceBagValue/4[int,int,org.robolectric.shadows.TypedValue,boolean]",false,631,6,2,0,2,2,3,8,2,2,4,3,2,3,0,1,0,0,0,1,2,0,1,0,0,0,30,4,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/robolectric__robolectric/shadows/framework/src/main/java/org/robolectric/shadows/ShadowArscAssetManager.java,org.robolectric.shadows.ShadowArscAssetManager,getArrayStringInfo/1[int],false,1178,8,1,0,1,6,8,30,2,11,1,8,1,1,1,2,0,0,1,7,15,2,3,0,0,0,44,4,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/robolectric__robolectric/shadows/framework/src/main/java/org/robolectric/shadows/ShadowArscAssetManager.java,org.robolectric.shadows.ShadowArscAssetManager,"retrieveArray/2[int,int[]]",false,892,10,1,0,1,11,10,54,2,17,2,10,1,1,1,6,0,0,2,8,29,8,4,0,0,0,65,4,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/robolectric__robolectric/shadows/framework/src/main/java/org/robolectric/shadows/ShadowArscAssetManager.java,org.robolectric.shadows.ShadowArscAssetManager,"returnParcelFileDescriptor/2[org.robolectric.shadows.Asset,long[]]",false,1342,4,2,2,0,3,4,14,2,3,2,4,0,0,0,2,0,0,1,4,5,0,1,0,0,0,28,8,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/robolectric__robolectric/shadows/framework/src/main/java/org/robolectric/shadows/ShadowArscAssetManager.java,org.robolectric.shadows.ShadowArscAssetManager,"openNonAssetNative/3[int,java.lang.String,int]",false,405,7,1,0,1,9,7,21,3,4,3,7,1,1,0,7,0,0,2,2,5,0,1,0,0,1,37,4,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/robolectric__robolectric/shadows/framework/src/main/java/org/robolectric/shadows/ShadowArscAssetManager.java,org.robolectric.shadows.ShadowArscAssetManager,getArraySize/1[int],false,875,6,1,0,1,2,5,12,2,4,1,5,1,1,0,1,0,0,0,1,4,0,1,0,0,0,21,4,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/robolectric__robolectric/shadows/framework/src/main/java/org/robolectric/shadows/ShadowArscAssetManager.java,org.robolectric.shadows.ShadowArscAssetManager,getResourcePackageName/1[int],false,270,4,1,0,1,2,4,8,2,2,1,4,1,1,0,0,0,0,0,0,2,0,1,0,0,0,15,4,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/robolectric__robolectric/shadows/framework/src/main/java/org/robolectric/shadows/ShadowArscAssetManager.java,org.robolectric.shadows.ShadowArscAssetManager,"openAssetFd/2[java.lang.String,long[]]",false,384,7,2,0,2,3,4,12,2,2,2,4,2,1,0,2,0,0,1,0,2,0,1,0,0,0,30,4,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/robolectric__robolectric/shadows/framework/src/main/java/org/robolectric/shadows/ShadowArscAssetManager.java,org.robolectric.shadows.ShadowArscAssetManager,getArrayIntResource/1[int],false,1223,9,1,0,1,9,7,36,4,11,1,7,1,1,1,3,0,0,1,2,12,0,3,0,0,0,44,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/robolectric__robolectric/shadows/framework/src/main/java/org/robolectric/shadows/ShadowArscAssetManager.java,org.robolectric.shadows.ShadowArscAssetManager,"copyValue/6[org.robolectric.shadows.TypedValue,org.robolectric.shadows.ResTable,org.robolectric.shadows.Res_value,int,int,int]",false,576,4,2,1,1,1,1,3,1,0,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,false
