file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/rstudio__rstudio/src/gwt/src/org/rstudio/studio/client/workbench/prefs/views/zotero/ZoteroResources.java,org.rstudio.studio.client.workbench.prefs.views.zotero.ZoteroResources$Styles,librariesLabel/0,false,32,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/rstudio__rstudio/src/gwt/src/org/rstudio/studio/client/workbench/prefs/views/zotero/ZoteroResources.java,org.rstudio.studio.client.workbench.prefs.views.zotero.ZoteroResources$Styles,apiKeyPanel/0,false,30,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/rstudio__rstudio/src/gwt/src/org/rstudio/studio/client/workbench/prefs/views/zotero/ZoteroResources.java,org.rstudio.studio.client.workbench.prefs.views.zotero.ZoteroResources$Styles,connection/0,false,28,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/rstudio__rstudio/src/gwt/src/org/rstudio/studio/client/workbench/prefs/views/zotero/ZoteroResources.java,org.rstudio.studio.client.workbench.prefs.views.zotero.ZoteroResources$Styles,librariesSelect/0,false,34,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/rstudio__rstudio/src/gwt/src/org/rstudio/studio/client/workbench/prefs/views/zotero/ZoteroResources.java,org.rstudio.studio.client.workbench.prefs.views.zotero.ZoteroResources$Styles,apiKey/0,false,29,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/rstudio__rstudio/src/gwt/src/org/rstudio/studio/client/workbench/prefs/views/zotero/ZoteroResources.java,org.rstudio.studio.client.workbench.prefs.views.zotero.ZoteroResources$Styles,librariesList/0,false,33,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/rstudio__rstudio/src/gwt/src/org/rstudio/studio/client/workbench/prefs/views/zotero/ZoteroResources.java,org.rstudio.studio.client.workbench.prefs.views.zotero.ZoteroResources$Styles,librariesWidget/0,false,31,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/rstudio__rstudio/src/gwt/src/org/rstudio/studio/client/workbench/events/LastChanceSaveEvent.java,org.rstudio.studio.client.workbench.events.LastChanceSaveEvent,getAssociatedType/0,false,60,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/rstudio__rstudio/src/gwt/src/org/rstudio/studio/client/workbench/events/LastChanceSaveEvent.java,org.rstudio.studio.client.workbench.events.LastChanceSaveEvent,acquire/0,false,54,1,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/rstudio__rstudio/src/gwt/src/org/rstudio/studio/client/workbench/events/LastChanceSaveEvent.java,org.rstudio.studio.client.workbench.events.LastChanceSaveEvent,dispatch/1[org.rstudio.studio.client.workbench.events.LastChanceSaveEvent.Handler],false,66,1,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/rstudio__rstudio/src/gwt/src/org/rstudio/studio/client/workbench/events/LastChanceSaveEvent.java,org.rstudio.studio.client.workbench.events.LastChanceSaveEvent,LastChanceSaveEvent/1[org.rstudio.studio.client.workbench.events.Barrier],true,46,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/rstudio__rstudio/src/gwt/src/org/rstudio/studio/client/workbench/views/terminal/TerminalSession.java,org.rstudio.studio.client.workbench.views.terminal.TerminalSession$Anonymous1$Anonymous2$Anonymous3,onError/1[org.rstudio.studio.client.workbench.views.terminal.ServerError],false,257,2,7,0,7,1,3,4,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
