file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spinnaker__spinnaker/halyard/halyard-config/src/main/java/com/netflix/spinnaker/halyard/config/model/v1/node/PersistentStore.java,com.netflix.spinnaker.halyard.config.model.v1.node.PersistentStore$PersistentStoreType,getId/0,false,58,1,5,5,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spinnaker__spinnaker/halyard/halyard-config/src/main/java/com/netflix/spinnaker/halyard/config/model/v1/node/PersistentStore.java,com.netflix.spinnaker.halyard.config.model.v1.node.PersistentStore$PersistentStoreType,PersistentStoreType/1[java.lang.String],true,53,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spinnaker__spinnaker/halyard/halyard-config/src/main/java/com/netflix/spinnaker/halyard/config/model/v1/node/PersistentStore.java,com.netflix.spinnaker.halyard.config.model.v1.node.PersistentStore$PersistentStoreType,fromString/1[java.lang.String],false,63,2,2,0,2,1,8,3,1,1,1,8,1,1,0,0,0,0,2,0,0,1,0,0,0,2,18,9,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spinnaker__spinnaker/clouddriver/clouddriver-cloudrun/src/main/java/com/netflix/spinnaker/clouddriver/cloudrun/deploy/description/CloudrunTrafficSplitDescription.java,com.netflix.spinnaker.clouddriver.cloudrun.deploy.description.CloudrunTrafficSplitDescription,getAllocationDescriptions/0,false,22,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spinnaker__spinnaker/clouddriver/clouddriver-cloudrun/src/main/java/com/netflix/spinnaker/clouddriver/cloudrun/deploy/description/CloudrunTrafficSplitDescription.java,com.netflix.spinnaker.clouddriver.cloudrun.deploy.description.CloudrunTrafficSplitDescription,setAllocationDescriptions/1[java.util.List<com.netflix.spinnaker.clouddriver.cloudrun.deploy.description.CloudrunAllocationDescription>],false,27,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spinnaker__spinnaker/igor/igor-monitor-plugins/src/main/java/com/netflix/spinnaker/igor/plugins/front50/PluginInfo.java,com.netflix.spinnaker.igor.plugins.front50.PluginInfo,"PluginInfo/4[java.lang.String,java.lang.String,java.lang.String,java.util.List<com.netflix.spinnaker.igor.plugins.front50.PluginInfo.Release>]",true,28,1,0,0,0,1,0,6,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spinnaker__spinnaker/clouddriver/clouddriver-kubernetes/src/main/java/com/netflix/spinnaker/clouddriver/kubernetes/op/handler/KubernetesPersistentVolumeClaimHandler.java,com.netflix.spinnaker.clouddriver.kubernetes.op.handler.KubernetesPersistentVolumeClaimHandler,cachingAgentFactory/0,false,61,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spinnaker__spinnaker/clouddriver/clouddriver-kubernetes/src/main/java/com/netflix/spinnaker/clouddriver/kubernetes/op/handler/KubernetesPersistentVolumeClaimHandler.java,com.netflix.spinnaker.clouddriver.kubernetes.op.handler.KubernetesPersistentVolumeClaimHandler,versioned/0,false,45,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spinnaker__spinnaker/clouddriver/clouddriver-kubernetes/src/main/java/com/netflix/spinnaker/clouddriver/kubernetes/op/handler/KubernetesPersistentVolumeClaimHandler.java,com.netflix.spinnaker.clouddriver.kubernetes.op.handler.KubernetesPersistentVolumeClaimHandler,spinnakerKind/0,false,51,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spinnaker__spinnaker/clouddriver/clouddriver-kubernetes/src/main/java/com/netflix/spinnaker/clouddriver/kubernetes/op/handler/KubernetesPersistentVolumeClaimHandler.java,com.netflix.spinnaker.clouddriver.kubernetes.op.handler.KubernetesPersistentVolumeClaimHandler,kind/0,false,40,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spinnaker__spinnaker/clouddriver/clouddriver-kubernetes/src/main/java/com/netflix/spinnaker/clouddriver/kubernetes/op/handler/KubernetesPersistentVolumeClaimHandler.java,com.netflix.spinnaker.clouddriver.kubernetes.op.handler.KubernetesPersistentVolumeClaimHandler,deployPriority/0,false,34,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spinnaker__spinnaker/clouddriver/clouddriver-kubernetes/src/main/java/com/netflix/spinnaker/clouddriver/kubernetes/op/handler/KubernetesPersistentVolumeClaimHandler.java,com.netflix.spinnaker.clouddriver.kubernetes.op.handler.KubernetesPersistentVolumeClaimHandler,status/1[com.netflix.spinnaker.clouddriver.kubernetes.description.manifest.KubernetesManifest],false,56,2,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spinnaker__spinnaker/orca/orca-clouddriver/src/test/java/com/netflix/spinnaker/orca/clouddriver/utils/LambdaClouddriverUtilsTest.java,com.netflix.spinnaker.orca.clouddriver.utils.LambdaClouddriverUtilsTest,getPublishedVersion_ShouldGetLatestIfNoVersionIsSpecified_$LATEST/0,false,436,2,0,0,0,1,8,5,0,1,0,8,0,0,0,0,0,0,4,1,1,0,0,0,0,0,6,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spinnaker__spinnaker/orca/orca-clouddriver/src/test/java/com/netflix/spinnaker/orca/clouddriver/utils/LambdaClouddriverUtilsTest.java,com.netflix.spinnaker.orca.clouddriver.utils.LambdaClouddriverUtilsTest,getFromCloudDriver_Success/0,false,310,2,0,0,0,1,8,5,0,1,0,8,0,0,0,0,0,0,4,1,1,0,0,0,0,0,12,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spinnaker__spinnaker/orca/orca-clouddriver/src/test/java/com/netflix/spinnaker/orca/clouddriver/utils/LambdaClouddriverUtilsTest.java,com.netflix.spinnaker.orca.clouddriver.utils.LambdaClouddriverUtilsTest,getCanonicalVersion_NoRevisions_NoPublishedVersionsExist/0,false,232,2,0,0,0,1,5,5,0,2,0,5,0,0,0,0,0,0,2,1,2,0,0,0,0,0,15,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spinnaker__spinnaker/orca/orca-clouddriver/src/test/java/com/netflix/spinnaker/orca/clouddriver/utils/LambdaClouddriverUtilsTest.java,com.netflix.spinnaker.orca.clouddriver.utils.LambdaClouddriverUtilsTest,validateLambdaEdgeInput_HaveSecurityGroups_False/0,false,207,2,0,0,0,1,13,4,0,1,0,13,0,0,0,0,0,0,2,2,1,0,0,0,0,0,13,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spinnaker__spinnaker/orca/orca-clouddriver/src/test/java/com/netflix/spinnaker/orca/clouddriver/utils/LambdaClouddriverUtilsTest.java,com.netflix.spinnaker.orca.clouddriver.utils.LambdaClouddriverUtilsTest,retrieveLambdaFromCache_ShouldNotGetLambdaGetInput_Null/0,false,345,3,0,0,0,1,13,6,0,2,0,13,0,0,0,0,0,0,6,1,2,0,0,0,0,0,26,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spinnaker__spinnaker/orca/orca-clouddriver/src/test/java/com/netflix/spinnaker/orca/clouddriver/utils/LambdaClouddriverUtilsTest.java,com.netflix.spinnaker.orca.clouddriver.utils.LambdaClouddriverUtilsTest,getPublishedVersion_getVersion_1/0,false,408,2,0,0,0,1,9,7,0,2,0,9,0,0,0,0,0,0,4,1,2,0,0,0,0,0,13,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spinnaker__spinnaker/orca/orca-clouddriver/src/test/java/com/netflix/spinnaker/orca/clouddriver/utils/LambdaClouddriverUtilsTest.java,com.netflix.spinnaker.orca.clouddriver.utils.LambdaClouddriverUtilsTest,getCanonicalVersion_LatestRevision_GetLatestVersion/0,false,248,2,0,0,0,1,6,8,0,2,0,6,0,0,0,0,0,0,9,1,2,0,0,0,0,0,13,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spinnaker__spinnaker/orca/orca-clouddriver/src/test/java/com/netflix/spinnaker/orca/clouddriver/utils/LambdaClouddriverUtilsTest.java,com.netflix.spinnaker.orca.clouddriver.utils.LambdaClouddriverUtilsTest,validateLambdaEdgeInput_MemorySizeGreaterThan128_False/0,false,150,2,0,0,0,1,10,4,0,1,0,10,0,0,0,0,0,0,1,2,1,0,0,0,0,0,14,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spinnaker__spinnaker/orca/orca-clouddriver/src/test/java/com/netflix/spinnaker/orca/clouddriver/utils/LambdaClouddriverUtilsTest.java,com.netflix.spinnaker.orca.clouddriver.utils.LambdaClouddriverUtilsTest,verifyStatus_getTheStatus_ShouldNotBeNull/0,false,448,3,0,0,0,1,8,6,0,2,0,8,0,0,0,0,0,0,3,1,2,0,0,0,0,0,24,1,0,false
