file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spotbugs__spotbugs/spotbugsTestCases/src/java/bugIdeas/Ideas_2011_11_18.java,bugIdeas.Ideas_2011_11_18$Anonymous1,get/1[java.lang.String],false,12,0,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spotbugs__spotbugs/spotbugsTestCases/src/java/sfBugs/Bug2387290.java,sfBugs.Bug2387290,method2/1[java.lang.Object],false,17,2,0,0,0,2,1,5,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,4,9,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spotbugs__spotbugs/spotbugsTestCases/src/java/sfBugs/Bug2387290.java,sfBugs.Bug2387290,method1/1[java.lang.Object],false,6,1,0,0,0,2,1,7,0,2,1,1,0,0,0,0,0,0,0,4,3,0,1,0,0,0,5,9,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spotbugs__spotbugs/spotbugsTestCases/src/java/googleBugs/Issue9.java,googleBugs.Issue9$1B$Anonymous1,test/0,false,10,0,1,0,1,1,1,6,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spotbugs__spotbugs/spotbugs-tests/src/test/java/edu/umd/cs/findbugs/util/MutableClassesTest.java,edu.umd.cs.findbugs.util.MutableClassesTest$ErrorProneImmutable,write/0,false,162,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spotbugs__spotbugs/spotbugsTestCases/src/java/sfBugsNew/Bug1191.java,sfBugsNew.Bug1191$TestInnerClass$Anonymous1,run/0,false,13,2,25,5,20,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spotbugs__spotbugs/spotbugs/src/main/java/edu/umd/cs/findbugs/detect/FindRunInvocations.java,edu.umd.cs.findbugs.detect.FindRunInvocations,sawOpcode/1[int],false,62,2,1,0,1,12,11,19,2,1,1,11,1,1,0,3,0,1,5,1,2,1,3,0,0,0,38,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spotbugs__spotbugs/spotbugs/src/main/java/edu/umd/cs/findbugs/detect/FindRunInvocations.java,edu.umd.cs.findbugs.detect.FindRunInvocations,visit/1[edu.umd.cs.findbugs.detect.Code],false,55,1,0,0,0,1,2,5,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spotbugs__spotbugs/spotbugs/src/main/java/edu/umd/cs/findbugs/detect/FindRunInvocations.java,edu.umd.cs.findbugs.detect.FindRunInvocations,FindRunInvocations/1[edu.umd.cs.findbugs.detect.BugReporter],true,40,2,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spotbugs__spotbugs/spotbugs/src/main/java/edu/umd/cs/findbugs/detect/FindRunInvocations.java,edu.umd.cs.findbugs.detect.FindRunInvocations,isThread/1[java.lang.String],false,45,0,1,1,0,2,2,9,2,0,1,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,9,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spotbugs__spotbugs/spotbugsTestCases/src/java/sfBugs/Bug1820691.java,sfBugs.Bug1820691,getGorps/0,false,8,0,0,0,0,4,1,8,2,2,0,1,0,0,1,2,0,0,0,2,3,0,1,0,0,0,14,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spotbugs__spotbugs/spotbugsTestCases/src/java/sfBugsNew/Bug1169.java,sfBugsNew.Bug1169$Engine,"update/3[byte[],int,int]",false,22,1,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1025,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spotbugs__spotbugs/spotbugsTestCases/src/java/sfBugsNew/Bug1169.java,sfBugsNew.Bug1169$Engine,reset/0,false,20,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1025,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spotbugs__spotbugs/spotbugsTestCases/src/java/sfBugsNew/Bug1169.java,sfBugsNew.Bug1169$Engine,digest/0,false,24,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1025,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spotbugs__spotbugs/spotbugs/src/main/java/edu/umd/cs/findbugs/detect/NumberConstructor.java,edu.umd.cs.findbugs.detect.NumberConstructor$Pair,"Pair/2[edu.umd.cs.findbugs.detect.MethodDescriptor,edu.umd.cs.findbugs.detect.MethodDescriptor]",true,63,1,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spotbugs__spotbugs/spotbugsTestCases/src/java/sfBugs/Bug2928673.java,sfBugs.Bug2928673,"doFilter/3[sfBugs.ServletRequest,sfBugs.ServletResponse,sfBugs.FilterChain]",false,19,4,0,0,0,5,14,32,0,5,3,14,0,0,0,1,0,0,5,3,5,1,3,0,0,0,25,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spotbugs__spotbugs/spotbugsTestCases/src/java/sfBugs/Bug2115406.java,sfBugs.Bug2115406$ChildClass,ChildClass/1[java.lang.String],true,25,0,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spotbugs__spotbugs/spotbugsTestCases/src/java/sfBugs/Bug2115406.java,sfBugs.Bug2115406$ChildClass,getChildParameter/0,false,31,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spotbugs__spotbugs/spotbugsTestCases/src/java/sfBugs/Bug3053867.java,sfBugs.Bug3053867,"storeFooMap2/1[java.util.Map<java.lang.String,sfBugs.Bug3053867.Foo>]",false,56,2,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spotbugs__spotbugs/spotbugsTestCases/src/java/sfBugs/Bug3053867.java,sfBugs.Bug3053867,"storeFooMap1/1[java.util.Map<sfBugs.Bug3053867.Foo,java.lang.String>]",false,52,2,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spotbugs__spotbugs/spotbugsTestCases/src/java/sfBugs/Bug3053867.java,sfBugs.Bug3053867,storeFoo/1[sfBugs.Bug3053867.Foo],false,43,2,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spotbugs__spotbugs/spotbugsTestCases/src/java/sfBugs/Bug3053867.java,sfBugs.Bug3053867,storeSet/1[java.util.Set<java.lang.String>],false,38,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spotbugs__spotbugs/spotbugsTestCases/src/java/sfBugs/Bug3053867.java,sfBugs.Bug3053867,storeFooSet/1[java.util.Set<sfBugs.Bug3053867.Foo>],false,48,2,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spotbugs__spotbugs/spotbugsTestCases/src/java/sfBugs/Bug3053867.java,sfBugs.Bug3053867,"storeMap/1[java.util.Map<java.lang.String,java.lang.String>]",false,33,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spotbugs__spotbugs/spotbugsTestCases/src/java/sfBugs/Bug3053867.java,sfBugs.Bug3053867,setSession/1[sfBugs.HttpSession],false,28,2,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,1,0,false
