file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spring-projects__spring-ai/mcp/mcp-annotations/src/test/java/org/springframework/ai/mcp/annotation/provider/prompt/AsyncMcpPromptProviderTests.java,org.springframework.ai.mcp.annotation.provider.prompt.AsyncMcpPromptProviderTests$1DefaultNamePrompt,defaultNameMethod/0,false,123,5,0,0,0,1,2,3,1,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,12,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spring-projects__spring-ai/models/spring-ai-azure-openai/src/test/java/org/springframework/ai/azure/openai/MockAzureOpenAiTestConfiguration.java,org.springframework.ai.azure.openai.MockAzureOpenAiTestConfiguration,azureOpenAiChatModel/1[org.springframework.ai.azure.openai.OpenAIClientBuilder],false,61,4,2,0,2,1,3,3,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spring-projects__spring-ai/models/spring-ai-azure-openai/src/test/java/org/springframework/ai/azure/openai/MockAzureOpenAiTestConfiguration.java,org.springframework.ai.azure.openai.MockAzureOpenAiTestConfiguration,microsoftAzureOpenAiClient/1[org.springframework.ai.azure.openai.MockWebServer],false,53,4,0,0,0,1,3,4,1,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spring-projects__spring-ai/models/spring-ai-openai/src/test/java/org/springframework/ai/openai/chat/OpenAiChatModelFunctionCallingIT.java,org.springframework.ai.openai.chat.OpenAiChatModelFunctionCallingIT$Anonymous1,"apply/2[Request,ToolContext]",false,99,2,0,0,0,4,5,14,1,1,2,5,0,0,0,0,0,0,5,9,4,0,1,0,0,0,8,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spring-projects__spring-ai/spring-ai-commons/src/test/java/org/springframework/ai/transformer/splitter/TextSplitterTests.java,org.springframework.ai.transformer.splitter.TextSplitterTests,testParentDocumentTracking/0,false,287,3,4,0,4,1,10,12,0,5,0,10,0,0,0,0,0,0,10,5,5,0,0,0,0,0,17,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spring-projects__spring-ai/spring-ai-commons/src/test/java/org/springframework/ai/transformer/splitter/TextSplitterTests.java,org.springframework.ai.transformer.splitter.TextSplitterTests,pageNoChunkSplit/0,false,125,5,4,0,4,1,13,9,0,6,0,13,0,0,0,0,0,0,28,13,6,4,0,0,0,7,45,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spring-projects__spring-ai/spring-ai-commons/src/test/java/org/springframework/ai/transformer/splitter/TextSplitterTests.java,org.springframework.ai.transformer.splitter.TextSplitterTests,testEnhancedMetadataWithMultipleDocuments/0,false,338,4,9,0,9,3,16,26,0,9,0,16,0,0,2,0,0,0,24,12,9,1,1,0,0,0,23,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spring-projects__spring-ai/spring-ai-commons/src/test/java/org/springframework/ai/transformer/splitter/TextSplitterTests.java,org.springframework.ai.transformer.splitter.TextSplitterTests,testScorePreservation/0,false,268,4,7,0,7,1,13,8,0,3,0,13,0,0,0,0,0,0,3,4,3,0,0,0,0,0,19,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spring-projects__spring-ai/spring-ai-commons/src/test/java/org/springframework/ai/transformer/splitter/TextSplitterTests.java,org.springframework.ai.transformer.splitter.TextSplitterTests,pageWithChunkSplit/0,false,162,5,4,0,4,1,13,8,0,5,0,13,0,0,0,0,0,0,58,12,5,3,0,0,0,7,217,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/spring-projects__spring-ai/spring-ai-commons/src/test/java/org/springframework/ai/transformer/splitter/TextSplitterTests.java,org.springframework.ai.transformer.splitter.TextSplitterTests,testChunkMetadataInformation/0,false,313,3,3,0,3,1,9,11,0,2,0,9,0,0,0,0,0,0,11,11,2,0,0,0,0,0,21,1,0,false
