file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/stanfordnlp__CoreNLP/src/edu/stanford/nlp/time/SUTime.java,edu.stanford.nlp.time.SUTime$StandardTemporalType,create/1[Expressions.CompositeValue],false,956,5,2,0,2,2,2,10,1,4,1,2,0,0,0,1,0,0,4,0,5,0,1,0,0,0,12,9,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/stanfordnlp__CoreNLP/src/edu/stanford/nlp/time/SUTime.java,edu.stanford.nlp.time.SUTime$StandardTemporalType,getPeriod/0,false,936,1,4,4,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/stanfordnlp__CoreNLP/src/edu/stanford/nlp/time/SUTime.java,edu.stanford.nlp.time.SUTime$StandardTemporalType,StandardTemporalType/1[edu.stanford.nlp.time.SUTime.TimexType],true,912,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/stanfordnlp__CoreNLP/src/edu/stanford/nlp/time/SUTime.java,edu.stanford.nlp.time.SUTime$StandardTemporalType,getGranularity/0,false,940,2,3,2,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/stanfordnlp__CoreNLP/src/edu/stanford/nlp/time/SUTime.java,edu.stanford.nlp.time.SUTime$StandardTemporalType,createTemporal/1[int],false,948,2,2,1,1,2,1,7,1,1,1,1,1,1,0,1,0,0,0,0,2,0,1,0,0,0,6,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/stanfordnlp__CoreNLP/src/edu/stanford/nlp/time/SUTime.java,edu.stanford.nlp.time.SUTime$StandardTemporalType,_createTemporal/1[int],false,944,1,1,1,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/stanfordnlp__CoreNLP/src/edu/stanford/nlp/time/SUTime.java,edu.stanford.nlp.time.SUTime$StandardTemporalType,"StandardTemporalType/2[edu.stanford.nlp.time.SUTime.TimexType,edu.stanford.nlp.time.SUTime.TimeUnit]",true,916,2,1,0,1,1,1,5,0,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/stanfordnlp__CoreNLP/src/edu/stanford/nlp/time/SUTime.java,edu.stanford.nlp.time.SUTime$StandardTemporalType,getDuration/0,false,932,2,3,2,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/stanfordnlp__CoreNLP/src/edu/stanford/nlp/time/SUTime.java,edu.stanford.nlp.time.SUTime$StandardTemporalType,getTimexType/0,false,928,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/stanfordnlp__CoreNLP/src/edu/stanford/nlp/time/SUTime.java,edu.stanford.nlp.time.SUTime$StandardTemporalType,"StandardTemporalType/3[edu.stanford.nlp.time.SUTime.TimexType,edu.stanford.nlp.time.SUTime.TimeUnit,edu.stanford.nlp.time.SUTime.Duration]",true,922,3,0,0,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,false
