file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/strimzi__strimzi-kafka-operator/api/src/main/java/io/strimzi/api/kafka/model/user/KafkaUserAuthentication.java,io.strimzi.api.kafka.model.user.KafkaUserAuthentication,getType/0,false,32,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1025,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/strimzi__strimzi-kafka-operator/api/src/main/java/io/strimzi/api/kafka/model/user/KafkaUserAuthentication.java,io.strimzi.api.kafka.model.user.KafkaUserAuthentication,"setAdditionalProperty/2[java.lang.String,java.lang.Object]",false,41,0,0,0,0,2,1,6,0,0,2,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,5,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/strimzi__strimzi-kafka-operator/api/src/main/java/io/strimzi/api/kafka/model/user/KafkaUserAuthentication.java,io.strimzi.api.kafka.model.user.KafkaUserAuthentication,getAdditionalProperties/0,false,36,0,0,0,0,2,1,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/strimzi__strimzi-kafka-operator/user-operator/src/test/java/io/strimzi/operator/user/operator/cache/ScramShaCredentialsCacheTest.java,io.strimzi.operator.user.operator.cache.ScramShaCredentialsCacheTest,testCache/0,false,36,6,4,0,4,3,21,43,3,9,0,21,0,0,0,0,1,0,7,4,7,0,2,0,0,2,35,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/strimzi__strimzi-kafka-operator/api/src/main/java/io/strimzi/api/kafka/model/connect/build/ImageStreamOutput.java,io.strimzi.api.kafka.model.connect.build.ImageStreamOutput,getType/0,false,31,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,14,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/strimzi__strimzi-kafka-operator/api/src/main/java/io/strimzi/api/kafka/model/connect/build/ImageStreamOutput.java,io.strimzi.api.kafka.model.connect.build.ImageStreamOutput,getImage/0,false,40,2,1,1,0,1,1,3,1,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,18,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/strimzi__strimzi-kafka-operator/cluster-operator/src/test/java/io/strimzi/operator/cluster/model/KafkaClusterStorageTest.java,io.strimzi.operator.cluster.model.KafkaClusterStorageTest,testGeneratePersistentVolumeClaimsJbod/0,false,207,9,3,0,3,5,29,25,0,4,0,29,0,0,1,0,0,0,15,5,4,0,3,0,0,0,32,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/strimzi__strimzi-kafka-operator/cluster-operator/src/test/java/io/strimzi/operator/cluster/model/KafkaClusterStorageTest.java,io.strimzi.operator.cluster.model.KafkaClusterStorageTest,testEphemeralStorage/0,false,467,10,5,0,5,4,31,19,0,9,0,31,0,0,2,0,0,0,3,4,6,0,3,0,0,3,36,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/strimzi__strimzi-kafka-operator/cluster-operator/src/test/java/io/strimzi/operator/cluster/model/KafkaClusterStorageTest.java,io.strimzi.operator.cluster.model.KafkaClusterStorageTest,testPvcsWithEmptyStorageSelector/0,false,252,7,3,0,3,3,21,12,0,4,0,21,0,0,1,0,0,0,2,1,4,0,2,0,0,0,32,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/strimzi__strimzi-kafka-operator/cluster-operator/src/test/java/io/strimzi/operator/cluster/model/KafkaClusterStorageTest.java,io.strimzi.operator.cluster.model.KafkaClusterStorageTest,testStorageValidationAfterInitialDeployment/0,false,526,8,0,0,0,1,10,9,0,3,0,10,0,0,0,0,0,0,2,0,3,0,1,0,0,1,27,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/strimzi__strimzi-kafka-operator/cluster-operator/src/test/java/io/strimzi/operator/cluster/model/KafkaClusterStorageTest.java,io.strimzi.operator.cluster.model.KafkaClusterStorageTest,testStorageReverting/0,false,545,12,4,0,4,1,26,34,0,7,0,26,0,0,0,0,0,0,22,14,16,4,0,0,0,0,41,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/strimzi__strimzi-kafka-operator/cluster-operator/src/test/java/io/strimzi/operator/cluster/model/KafkaClusterStorageTest.java,io.strimzi.operator.cluster.model.KafkaClusterStorageTest,testGeneratePodSetWithSetSizeLimit/0,false,498,10,4,0,4,4,29,16,0,7,0,29,0,0,2,0,0,0,5,2,5,0,3,0,0,2,35,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/strimzi__strimzi-kafka-operator/cluster-operator/src/test/java/io/strimzi/operator/cluster/model/KafkaClusterStorageTest.java,io.strimzi.operator.cluster.model.KafkaClusterStorageTest,testGeneratePersistentVolumeClaimsPersistentWithClaimDeletion/0,false,149,8,3,0,3,3,27,16,0,4,0,27,0,0,1,0,0,0,7,2,4,0,2,0,0,0,31,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/strimzi__strimzi-kafka-operator/cluster-operator/src/test/java/io/strimzi/operator/cluster/model/KafkaClusterStorageTest.java,io.strimzi.operator.cluster.model.KafkaClusterStorageTest,testGeneratePersistentVolumeClaimsJbodWithTemplateInNodePoolOnly/0,false,408,8,3,0,3,3,34,17,0,4,0,34,0,0,1,0,0,0,14,3,4,0,2,0,0,0,37,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/strimzi__strimzi-kafka-operator/cluster-operator/src/test/java/io/strimzi/operator/cluster/model/KafkaClusterStorageTest.java,io.strimzi.operator.cluster.model.KafkaClusterStorageTest,testGeneratePersistentVolumeClaimsJbodWithTemplate/0,false,303,10,3,0,3,2,33,12,0,5,0,33,0,0,1,0,0,0,11,3,5,0,1,0,0,0,37,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/strimzi__strimzi-kafka-operator/cluster-operator/src/test/java/io/strimzi/operator/cluster/model/KafkaClusterStorageTest.java,io.strimzi.operator.cluster.model.KafkaClusterStorageTest,testPvcsWithSetStorageSelector/0,false,276,7,3,0,3,3,23,16,0,5,0,23,0,0,1,0,0,0,4,1,5,0,2,0,0,0,33,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/strimzi__strimzi-kafka-operator/cluster-operator/src/test/java/io/strimzi/operator/cluster/model/KafkaClusterStorageTest.java,io.strimzi.operator.cluster.model.KafkaClusterStorageTest,testGeneratePersistentVolumeClaimsJbodWithoutVolumes/0,false,453,6,0,0,0,1,9,8,0,2,0,9,0,0,0,0,0,0,0,0,2,0,1,0,0,1,26,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/strimzi__strimzi-kafka-operator/cluster-operator/src/test/java/io/strimzi/operator/cluster/model/KafkaClusterStorageTest.java,io.strimzi.operator.cluster.model.KafkaClusterStorageTest,testGeneratePersistentVolumeClaimsJbodWithTemplateInKafkaAndNodePool/0,false,349,10,3,0,3,3,35,18,0,5,0,35,0,0,1,0,0,0,20,3,5,0,2,0,0,0,39,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/strimzi__strimzi-kafka-operator/cluster-operator/src/test/java/io/strimzi/operator/cluster/model/KafkaClusterStorageTest.java,io.strimzi.operator.cluster.model.KafkaClusterStorageTest,testGeneratePersistentVolumeClaimsPersistentWithoutClaimDeletion/0,false,178,8,3,0,3,3,27,16,0,4,0,27,0,0,1,0,0,0,7,2,4,0,2,0,0,0,32,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/strimzi__strimzi-kafka-operator/cluster-operator/src/test/java/io/strimzi/operator/cluster/model/KafkaClusterStorageTest.java,io.strimzi.operator.cluster.model.KafkaClusterStorageTest,testPvcNames/0,false,115,9,3,0,3,1,23,17,0,8,0,23,0,0,0,0,0,0,30,6,9,0,0,0,0,3,36,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/strimzi__strimzi-kafka-operator/systemtest/src/test/java/io/strimzi/systemtest/tracing/OpenTelemetryST.java,io.strimzi.systemtest.tracing.OpenTelemetryST,testProducerConsumerMirrorMaker2Service/0,false,108,11,21,0,21,1,39,20,0,3,0,39,1,1,0,0,0,0,7,11,3,4,0,0,0,0,40,0,2,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/strimzi__strimzi-kafka-operator/systemtest/src/test/java/io/strimzi/systemtest/tracing/OpenTelemetryST.java,io.strimzi.systemtest.tracing.OpenTelemetryST,testKafkaBridgeService/0,false,263,13,18,0,18,1,44,13,0,3,0,44,1,1,0,0,0,1,4,6,3,0,0,0,0,0,39,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/strimzi__strimzi-kafka-operator/systemtest/src/test/java/io/strimzi/systemtest/tracing/OpenTelemetryST.java,io.strimzi.systemtest.tracing.OpenTelemetryST,testProducerConsumerStreamsService/0,false,71,8,17,0,17,1,20,13,0,1,0,20,1,1,0,0,0,3,0,7,1,0,0,0,0,0,12,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/strimzi__strimzi-kafka-operator/systemtest/src/test/java/io/strimzi/systemtest/tracing/OpenTelemetryST.java,io.strimzi.systemtest.tracing.OpenTelemetryST,testProducerConsumerStreamsConnectService/0,false,185,13,23,0,23,1,58,27,0,3,0,58,1,1,0,0,0,3,29,9,3,5,0,0,0,0,41,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/strimzi__strimzi-kafka-operator/systemtest/src/test/java/io/strimzi/systemtest/tracing/OpenTelemetryST.java,io.strimzi.systemtest.tracing.OpenTelemetryST,testKafkaBridgeServiceWithHttpTracing/0,false,319,13,18,0,18,1,44,14,0,3,0,44,1,1,0,0,0,1,4,6,3,0,0,0,0,0,41,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/strimzi__strimzi-kafka-operator/systemtest/src/test/java/io/strimzi/systemtest/tracing/OpenTelemetryST.java,io.strimzi.systemtest.tracing.OpenTelemetryST,setup/0,false,405,4,5,0,5,1,6,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/strimzi__strimzi-kafka-operator/systemtest/src/test/java/io/strimzi/systemtest/tracing/OpenTelemetryST.java,io.strimzi.systemtest.tracing.OpenTelemetryST,deployInitialResourcesAndGetTestStorage/0,false,374,5,17,5,12,1,34,10,1,2,0,34,0,0,0,0,0,0,1,1,2,0,0,0,0,0,32,2,1,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/strimzi__strimzi-kafka-operator/systemtest/src/main/java/io/strimzi/systemtest/kafkaclients/internalClients/admin/KafkaAdminException.java,io.strimzi.systemtest.kafkaclients.internalClients.admin.KafkaAdminException,KafkaAdminException/1[java.lang.String],true,11,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/strimzi__strimzi-kafka-operator/systemtest/src/main/java/io/strimzi/systemtest/kafkaclients/internalClients/admin/KafkaAdminException.java,io.strimzi.systemtest.kafkaclients.internalClients.admin.KafkaAdminException,"KafkaAdminException/2[java.lang.String,java.lang.Throwable]",true,15,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/strimzi__strimzi-kafka-operator/systemtest/src/main/java/io/strimzi/systemtest/utils/VerificationUtils.java,io.strimzi.systemtest.utils.VerificationUtils,"verifyClusterOperatorConnectDockerImage/3[java.lang.String,java.lang.String,java.lang.String]",false,362,4,5,1,4,2,18,11,0,3,3,18,1,1,0,1,0,0,2,1,4,0,1,0,0,0,42,9,2,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/strimzi__strimzi-kafka-operator/systemtest/src/main/java/io/strimzi/systemtest/utils/VerificationUtils.java,io.strimzi.systemtest.utils.VerificationUtils,getClusterOperatorDeploymentImages/1[java.lang.String],false,412,2,5,3,2,7,25,23,1,6,1,25,0,0,2,2,0,0,1,1,6,0,5,0,0,0,69,9,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/strimzi__strimzi-kafka-operator/systemtest/src/main/java/io/strimzi/systemtest/utils/VerificationUtils.java,io.strimzi.systemtest.utils.VerificationUtils,"verifyReadinessAndLivenessProbes/8[java.lang.String,java.lang.String,java.lang.String,int,int,int,int,int]",false,183,2,2,2,0,2,24,24,0,5,8,24,0,0,0,1,0,0,4,1,2,1,2,0,0,3,50,9,2,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/strimzi__strimzi-kafka-operator/systemtest/src/main/java/io/strimzi/systemtest/utils/VerificationUtils.java,io.strimzi.systemtest.utils.VerificationUtils,"verifyConfigMapsLabels/3[java.lang.String,java.lang.String,java.lang.String]",false,241,0,2,2,0,5,18,26,0,1,3,18,0,0,0,0,0,0,9,0,0,0,2,0,0,1,45,9,3,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/strimzi__strimzi-kafka-operator/systemtest/src/main/java/io/strimzi/systemtest/utils/VerificationUtils.java,io.strimzi.systemtest.utils.VerificationUtils,"assertPodResourceRequests/7[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",false,73,3,2,2,0,1,24,13,0,7,7,24,0,0,0,0,0,0,8,0,5,2,0,0,0,2,55,9,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/strimzi__strimzi-kafka-operator/systemtest/src/main/java/io/strimzi/systemtest/utils/VerificationUtils.java,io.strimzi.systemtest.utils.VerificationUtils,VerificationUtils/0,true,60,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/strimzi__strimzi-kafka-operator/systemtest/src/main/java/io/strimzi/systemtest/utils/VerificationUtils.java,io.strimzi.systemtest.utils.VerificationUtils,"verifyClusterOperatorKafkaDockerImages/5[java.lang.String,java.lang.String,java.lang.String,int,boolean]",false,324,6,9,1,8,2,24,19,0,8,5,24,1,1,0,0,0,0,9,1,7,2,2,0,0,1,66,9,2,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/strimzi__strimzi-kafka-operator/systemtest/src/main/java/io/strimzi/systemtest/utils/VerificationUtils.java,io.strimzi.systemtest.utils.VerificationUtils,"verifyServiceLabels/3[java.lang.String,java.lang.String,io.strimzi.systemtest.utils.LabelSelector]",false,271,2,3,3,0,1,14,9,0,1,3,14,0,0,0,0,0,0,2,0,1,0,0,0,0,0,28,9,2,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/strimzi__strimzi-kafka-operator/systemtest/src/main/java/io/strimzi/systemtest/utils/VerificationUtils.java,io.strimzi.systemtest.utils.VerificationUtils,"containerJavaCmdLines/3[java.lang.String,java.lang.String,java.lang.String]",false,96,0,1,1,0,2,8,8,1,2,3,8,0,0,1,0,0,0,5,0,2,0,1,0,0,0,53,10,0,true
