file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/undertow-io__undertow/core/src/main/java/io/undertow/server/protocol/http/PipeliningBufferingStreamSinkConduit.java,io.undertow.server.protocol.http.PipeliningBufferingStreamSinkConduit$Anonymous1,handleEvent/1[java.nio.channels.Channel],false,315,4,5,0,5,4,10,18,0,0,1,10,0,0,0,0,1,0,0,0,0,0,2,0,0,0,18,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/undertow-io__undertow/core/src/main/java/io/undertow/server/handlers/proxy/mod_cluster/VirtualHost.java,io.undertow.server.handlers.proxy.mod_cluster.VirtualHost$HostEntry,getContexts/0,false,189,1,2,2,0,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/undertow-io__undertow/core/src/main/java/io/undertow/server/handlers/proxy/mod_cluster/VirtualHost.java,io.undertow.server.handlers.proxy.mod_cluster.VirtualHost$HostEntry,getNodes/0,false,182,0,1,1,0,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/undertow-io__undertow/core/src/main/java/io/undertow/server/handlers/proxy/mod_cluster/VirtualHost.java,io.undertow.server.handlers.proxy.mod_cluster.VirtualHost$HostEntry,getContextForNode/1[java.lang.String],false,175,1,2,2,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/undertow-io__undertow/core/src/main/java/io/undertow/server/handlers/proxy/mod_cluster/VirtualHost.java,io.undertow.server.handlers.proxy.mod_cluster.VirtualHost$HostEntry,getContextPath/0,false,166,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/undertow-io__undertow/core/src/main/java/io/undertow/server/handlers/proxy/mod_cluster/VirtualHost.java,io.undertow.server.handlers.proxy.mod_cluster.VirtualHost$HostEntry,HostEntry/1[java.lang.String],true,162,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/undertow-io__undertow/websockets-jsr/src/test/java/io/undertow/websockets/jsr/test/TestMessagesReceivedInOrder.java,io.undertow.websockets.jsr.test.TestMessagesReceivedInOrder,testMessagesReceivedInOrder/0,false,105,4,0,0,0,2,10,49,0,3,0,10,0,0,0,1,0,0,1,2,4,1,1,1,0,0,52,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/undertow-io__undertow/websockets-jsr/src/test/java/io/undertow/websockets/jsr/test/TestMessagesReceivedInOrder.java,io.undertow.websockets.jsr.test.TestMessagesReceivedInOrder,setup/0,false,72,8,3,0,3,1,19,7,0,2,0,19,0,0,0,0,0,0,3,0,3,0,0,0,0,0,15,9,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/undertow-io__undertow/websockets-jsr/src/test/java/io/undertow/websockets/jsr/test/TestMessagesReceivedInOrder.java,io.undertow.websockets.jsr.test.TestMessagesReceivedInOrder,cleanup/0,false,97,1,0,0,0,2,2,6,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6,9,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/undertow-io__undertow/websockets-jsr/src/test/java/io/undertow/websockets/jsr/test/TestMessagesReceivedInOrder.java,io.undertow.websockets.jsr.test.TestMessagesReceivedInOrder,md5/1[byte[]],false,178,1,2,2,0,2,4,11,1,2,1,4,0,0,0,0,1,0,2,1,2,0,1,0,0,0,16,10,0,false
