file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/yuliskov__SmartTube/smarttubetv/src/main/java/com/liskovsoft/smartyoutubetv2/tv/presenter/IconHeaderItemPresenter.java,com.liskovsoft.smartyoutubetv2.tv.presenter.IconHeaderItemPresenter,onUnbindViewHolder/1[Presenter.ViewHolder],false,89,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/yuliskov__SmartTube/smarttubetv/src/main/java/com/liskovsoft/smartyoutubetv2/tv/presenter/IconHeaderItemPresenter.java,com.liskovsoft.smartyoutubetv2.tv.presenter.IconHeaderItemPresenter,onCreateViewHolder/1[com.liskovsoft.smartyoutubetv2.tv.presenter.ViewGroup],false,40,5,0,0,0,1,7,8,1,2,1,7,0,0,0,0,0,0,0,2,4,0,0,0,0,0,16,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/yuliskov__SmartTube/smarttubetv/src/main/java/com/liskovsoft/smartyoutubetv2/tv/presenter/IconHeaderItemPresenter.java,com.liskovsoft.smartyoutubetv2.tv.presenter.IconHeaderItemPresenter,"onBindViewHolder/2[Presenter.ViewHolder,java.lang.Object]",false,54,9,1,0,1,6,15,25,0,5,2,15,0,0,0,3,0,2,0,1,6,0,2,0,0,0,27,1,1,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/yuliskov__SmartTube/smarttubetv/src/main/java/com/liskovsoft/smartyoutubetv2/tv/presenter/IconHeaderItemPresenter.java,com.liskovsoft.smartyoutubetv2.tv.presenter.IconHeaderItemPresenter,onSelectLevelChanged/1[RowHeaderPresenter.ViewHolder],false,96,1,0,0,0,1,2,3,0,0,1,2,0,0,0,0,0,1,0,1,0,3,0,0,0,0,8,4,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/yuliskov__SmartTube/smarttubetv/src/main/java/com/liskovsoft/smartyoutubetv2/tv/presenter/IconHeaderItemPresenter.java,com.liskovsoft.smartyoutubetv2.tv.presenter.IconHeaderItemPresenter,"IconHeaderItemPresenter/2[int,java.lang.String]",true,34,0,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/yuliskov__SmartTube/common/src/main/java/com/liskovsoft/smartyoutubetv2/common/app/models/data/VideoGroup.java,com.liskovsoft.smartyoutubetv2.common.app.models.data.VideoGroup,from/1[com.liskovsoft.smartyoutubetv2.common.app.models.data.Video],false,61,2,2,0,2,1,2,3,1,0,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/yuliskov__SmartTube/common/src/main/java/com/liskovsoft/smartyoutubetv2/common/app/models/data/VideoGroup.java,com.liskovsoft.smartyoutubetv2.common.app.models.data.VideoGroup,getVideos/0,false,187,1,13,13,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/yuliskov__SmartTube/common/src/main/java/com/liskovsoft/smartyoutubetv2/common/app/models/data/VideoGroup.java,com.liskovsoft.smartyoutubetv2.common.app.models.data.VideoGroup,"from/2[com.liskovsoft.smartyoutubetv2.common.app.models.data.BrowseSection,int]",false,53,3,3,2,1,1,1,3,1,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/yuliskov__SmartTube/common/src/main/java/com/liskovsoft/smartyoutubetv2/common/app/models/data/VideoGroup.java,com.liskovsoft.smartyoutubetv2.common.app.models.data.VideoGroup,"from/2[com.liskovsoft.smartyoutubetv2.common.app.models.data.VideoGroup,com.liskovsoft.smartyoutubetv2.common.app.models.data.VideoGroup]",false,152,1,3,0,3,4,4,15,3,0,2,4,3,3,1,2,0,0,1,0,2,1,1,0,0,0,19,9,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/yuliskov__SmartTube/common/src/main/java/com/liskovsoft/smartyoutubetv2/common/app/models/data/VideoGroup.java,com.liskovsoft.smartyoutubetv2.common.app.models.data.VideoGroup,getNextPageKey/0,false,273,1,2,1,1,2,2,3,1,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,7,1,0,false
