Model,Input_Tokens_Avg,Output_Tokens_Avg,Total_Tokens_Avg,Cost_Per_1K_Tokens,Avg_Fix_Cost,Success_Rate,Effective_Cost_Per_Fix,Monthly_Cost_1000_Bugs,Annual_Savings_vs_GPT4
Chronos,3600,3000,6600,0.002,0.0132,0.673,1.36,1360,49200
GPT-4.1,8500,1200,9700,0.08,0.776,0.138,5.53,5530,0
Claude-4-Opus,7200,1500,8700,0.075,0.6525,0.142,4.89,4890,7680
Gemini-2.0-Pro,9800,1800,11600,0.055,0.638,0.150,4.25,4250,15360
DeepSeek-V2,10200,900,11100,0.065,0.7215,0.087,7.82,7820,-26520
Mistral-Large,11500,800,12300,0.070,0.861,0.092,8.95,8950,-40800
Llama-3-70B,12100,700,12800,0.060,0.768,0.073,9.73,9730,-50400
Human-Developer,0,0,0,0,75,1.0,75.00,75000,-837360
Chronos-PDM-100,3200,2800,6000,0.002,0.012,0.750,1.12,1120,51840
Chronos-PDM-1000,2900,2700,5600,0.002,0.0112,0.823,0.98,980,53040
