Language,Chronos_Success,Chronos_Precision,Chronos_Recall,GPT4_Success,GPT4_Precision,GPT4_Recall,Claude_Success,Gemini_Success,Improvement_Factor,Sample_Size
Python,68.7,93.2,86.4,11.2,67.3,31.2,10.8,13.7,6.13,1500
JavaScript,64.2,91.8,84.7,7.8,62.1,27.8,8.2,10.3,8.23,1200
Java,63.9,91.4,83.9,6.3,58.7,24.3,7.1,9.2,10.14,900
Go,66.8,92.7,85.8,9.1,65.4,29.7,9.8,11.9,7.34,700
C++,61.2,90.3,82.1,5.2,51.2,20.1,5.8,7.4,11.77,700
TypeScript,65.4,92.1,85.2,8.4,63.8,28.9,8.9,10.8,7.79,600
Rust,62.8,91.0,83.5,4.7,49.3,18.7,5.3,6.8,13.36,400
C#,64.7,91.9,84.8,7.2,60.4,26.2,7.8,9.6,8.99,300
PHP,63.1,91.3,83.7,6.8,59.2,25.1,7.4,9.1,9.28,200
Ruby,64.5,91.7,84.5,7.6,61.8,27.4,8.1,9.9,8.49,100
