Bug_Category,Model,Success_Rate,Avg_Time_Seconds,Avg_Iterations,Total_Tasks,Precision,Recall,False_Positives,True_Positives,Confidence_Score
Syntax,Kodezi Chronos,94.2,45.3,1.2,500,96.8,92.1,15,471,0.95
Syntax,GPT-4,82.3,23.4,1.5,500,88.2,78.4,43,412,0.84
Syntax,Claude-3-Opus,79.8,25.6,1.6,500,86.1,75.3,51,399,0.82
Syntax,Gemini-1.5-Pro,85.1,22.1,1.4,500,89.3,81.2,37,426,0.86
Logic,Kodezi Chronos,72.8,123.4,2.1,1200,81.3,68.9,104,874,0.88
Logic,GPT-4,12.1,78.9,5.8,1200,23.4,8.9,412,145,0.42
Logic,Claude-3-Opus,10.7,82.3,6.1,1200,21.2,7.8,428,128,0.39
Logic,Gemini-1.5-Pro,15.3,72.4,5.2,1200,28.7,11.2,384,184,0.48
Concurrency,Kodezi Chronos,58.3,189.7,3.4,800,68.9,52.1,123,466,0.79
Concurrency,GPT-4,3.2,134.5,8.9,800,8.7,2.1,184,26,0.21
Concurrency,Claude-3-Opus,2.8,142.3,9.2,800,7.9,1.8,192,22,0.19
Concurrency,Gemini-1.5-Pro,4.1,128.6,8.1,800,10.2,2.9,176,33,0.24
Memory,Kodezi Chronos,61.7,156.2,2.8,600,72.4,56.3,98,370,0.82
Memory,GPT-4,5.7,98.7,7.2,600,12.3,3.8,142,34,0.28
Memory,Claude-3-Opus,4.3,103.4,7.6,600,10.1,2.9,156,26,0.24
Memory,Gemini-1.5-Pro,6.9,94.2,6.8,600,14.8,4.7,134,41,0.31
API,Kodezi Chronos,79.1,98.5,1.9,900,85.7,74.2,87,712,0.91
API,GPT-4,18.9,56.3,4.3,900,32.4,14.2,234,170,0.51
API,Claude-3-Opus,16.2,59.8,4.6,900,29.8,12.1,251,146,0.47
API,Gemini-1.5-Pro,22.4,52.7,3.9,900,36.7,17.8,212,202,0.56
Performance,Kodezi Chronos,65.4,145.3,2.5,400,74.8,59.2,67,262,0.84
Performance,GPT-4,7.4,89.2,6.7,400,16.2,5.1,112,30,0.32
Performance,Claude-3-Opus,6.1,93.7,7.1,400,14.3,4.2,121,24,0.29
Performance,Gemini-1.5-Pro,9.8,85.3,6.2,400,19.7,7.3,104,39,0.37
