name,stars,forks,created_at,releases,language
Snailclimb/JavaGuide,154489,46136,2018-05-07T13:27:00Z,0,Java
krahets/hello-algo,124044,14954,2022-11-04T11:08:34Z,10,Java
GrowingGit/GitHub-Chinese-Top-Charts,107111,13526,2019-09-05T03:01:56Z,0,Java
iluwatar/java-design-patterns,93838,27369,2014-08-09T16:45:18Z,0,Java
macrozheng/mall,83249,29678,2018-04-04T01:11:44Z,3,Java
spring-projects/spring-boot,80311,41863,2012-10-19T15:02:57Z,345,Java
doocs/advanced-java,78915,19265,2018-10-06T11:38:30Z,1,Java
MisterBooo/LeetCodeAnimation,76704,13974,2018-12-06T08:01:22Z,0,Java
elastic/elasticsearch,76398,25830,2010-02-08T13:20:56Z,238,Java
NationalSecurityAgency/ghidra,66199,7294,2019-03-01T03:27:48Z,52,Java
TheAlgorithms/Java,65281,21041,2016-07-16T10:21:02Z,0,Java
kdn251/interviews,64936,12922,2017-02-14T18:19:25Z,0,Java
spring-projects/spring-framework,59785,38904,2010-12-08T04:04:45Z,359,Java
termux/termux-app,52518,6283,2015-10-23T09:42:46Z,95,Java
google/guava,51507,11158,2014-05-29T16:23:17Z,57,Java
dbeaver/dbeaver,49295,4087,2015-10-21T08:26:28Z,244,Java
ReactiveX/RxJava,48466,7601,2013-01-08T20:11:48Z,257,Java
skylot/jadx,47800,5468,2013-03-18T17:08:21Z,34,Java
jeecgboot/JeecgBoot,45577,15849,2018-11-26T10:40:00Z,70,Java
apache/dubbo,41711,26529,2012-06-19T07:56:02Z,113,Java
PhilJay/MPAndroidChart,38228,9046,2014-04-25T14:29:47Z,44,Java
halo-dev/halo,38150,10231,2018-03-21T12:56:52Z,253,Java
TeamNewPipe/NewPipe,37665,3522,2015-09-03T23:39:26Z,141,Java
eugenp/tutorials,37350,53719,2013-04-29T18:26:36Z,0,Java
alibaba/arthas,37214,7636,2018-08-29T17:15:57Z,69,Java
YunaiV/ruoyi-vue-pro,36041,7779,2021-01-24T03:18:25Z,54,Java
geekxh/hello-algorithm,36038,6445,2020-05-29T05:47:09Z,0,Java
doocs/leetcode,35825,9380,2018-09-16T14:03:03Z,21,Java
airbnb/lottie-android,35602,5438,2016-10-06T22:42:42Z,63,Java
ashishps1/awesome-system-design-resources,35565,7778,2023-10-25T01:50:42Z,0,Java
bumptech/glide,35031,6183,2013-07-08T22:52:33Z,54,Java
netty/netty,34898,16268,2010-11-09T09:22:21Z,3,Java
SeleniumHQ/selenium,34183,8667,2013-01-14T21:40:56Z,114,Java
xkcoding/spring-boot-demo,34112,10991,2017-11-10T06:27:29Z,0,Java
zxing/zxing,33901,9434,2011-10-12T14:07:27Z,32,Java
alibaba/easyexcel,33769,7622,2018-02-06T03:14:08Z,14,Java
Blankj/AndroidUtilCode,33707,10681,2016-07-30T18:18:32Z,117,Java
keycloak/keycloak,33583,8175,2013-07-02T13:38:51Z,103,Java
alibaba/nacos,32765,13261,2018-06-15T06:49:27Z,90,Java
binarywang/WxJava,32672,9060,2016-01-06T08:24:05Z,31,Java
apache/kafka,32238,15072,2011-08-15T18:06:16Z,0,Java
conductor-oss/conductor,31567,841,2023-12-08T06:06:09Z,37,Java
ityouknow/spring-boot-examples,30638,12299,2016-11-05T05:32:33Z,0,Java
chinabugotech/hutool,30327,7645,2014-04-13T07:23:51Z,157,Java
xuxueli/xxl-job,29994,11454,2015-11-28T12:59:34Z,42,Java
apolloconfig/apollo,29767,10200,2016-03-04T10:24:23Z,43,Java
alibaba/canal,29645,7660,2013-01-13T10:59:52Z,32,Java
yuliskov/SmartTube,29104,1559,2020-07-28T12:53:52Z,980,Java
alibaba/spring-cloud-alibaba,29081,8515,2017-12-01T20:49:15Z,51,Java
wuyouzhuguli/SpringAll,29012,8155,2018-05-02T02:48:44Z,0,Java
DrKLO/Telegram,28762,9361,2013-10-25T14:08:10Z,95,Java
alibaba/druid,28212,8602,2011-11-03T05:12:51Z,52,Java
lenve/vhr,28099,10251,2018-01-04T08:57:51Z,0,Java
Anuken/Mindustry,27035,3381,2017-04-30T01:24:29Z,182,Java
crossoverJie/JCSprout,27000,7021,2017-12-17T09:06:50Z,0,Java
qiurunze123/miaosha,26604,6617,2018-09-14T04:36:24Z,0,Java
